Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
base_link,0.20111,0.23366,0.30564,0,0,0,2.4018,0.0070769,-2.7325E-07,1.9337E-07,0.015485,-1.2072E-07,0.009591,0,0,0,0,0,0,package://urdf_leg/meshes/base_link.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://urdf_leg/meshes/base_link.STL,,base_link_Default_sldprt.step-1,Origin_global,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
llink1,0.0307791868334724,-0.215484371552082,-1.10573228412347E-06,0,0,0,0.43136989307321,0.00261255373009683,-1.54730224764238E-07,-5.4625490330409E-08,0.000204363979846619,-9.799960602793E-06,0.00272660768895071,0,0,0,0,0,0,package://urdf_leg/meshes/llink1.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://urdf_leg/meshes/llink1.STL,,llink1_Default_sldprt.step-1,Origin_ljoint1,Axis_ljoint1,ljoint1,continuous,0,-0.26657,0.13336,1.5708,0,0,base_link,1,0,0,,,,,,,,,,,,
llink2,0.0291413196663437,-0.177961893333791,-0.00157862107611317,0,0,0,0.455413997264765,0.0026249658638958,-5.35676102081581E-18,-3.99498195975885E-17,0.000232825591707952,4.91487669826942E-06,0.00274374190170977,0,0,0,0,0,0,package://urdf_leg/meshes/llink2.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://urdf_leg/meshes/llink2.STL,,llink2_Default_sldprt.step-1,Origin_ljoint2,Axis_ljoint2,ljoint2,continuous,0,-0.438,0,0,0,0,llink1,1,0,0,,,,,,,,,,,,
llink3,0.0312440014766714,-0.0366754335013655,0.049330963427308,0,0,0,0.291189773826857,0.000610485905391525,1.36625094874664E-07,-9.66829387673093E-08,0.000684347300419343,-6.0357579672748E-08,0.000116061793166679,0,0,0,0,0,0,package://urdf_leg/meshes/llink3.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://urdf_leg/meshes/llink3.STL,,llink3_Default_sldprt.step-1,Origin_ljoint3,Axis_ljoint3,ljoint3,continuous,0,-0.44,0,0,0,0,llink2,1,0,0,,,,,,,,,,,,
rlink1,0.0560836371363365,-0.215484371552082,-1.10573228417898E-06,0,0,0,0.431369893073211,0.00261255373009683,-1.54730224764526E-07,-5.46254903304758E-08,0.000204363979846619,-9.79996060279391E-06,0.00272660768895072,0,0,0,0,0,0,package://urdf_leg/meshes/rlink1.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://urdf_leg/meshes/rlink1.STL,,rlink1_Default_sldprt.step-1,Origin_rjoint1,Axis_rjoint1,rjoint1,continuous,0.3147,-0.26657,0.13336,1.5708,0,0,base_link,1,0,0,,,,,,,,,,,,
rlink2,0.0544457699691987,-0.177961893333791,-0.00157862107611328,0,0,0,0.455413997264767,0.00262496586389582,-5.41480015475625E-18,-4.00464306750793E-17,0.000232825591707953,4.91487669826903E-06,0.00274374190170979,0,0,0,0,0,0,package://urdf_leg/meshes/rlink2.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://urdf_leg/meshes/rlink2.STL,,rlink2_Default_sldprt.step-1,Origin_rjoint2,Axis_rjoint2,rjoint2,continuous,0,-0.438,0,0,0,0,rlink1,1,0,0,,,,,,,,,,,,
rlink3,0.0491984517795272,-0.0366754335013657,0.0493309634273081,0,0,0,0.291189773826858,0.000610485905391525,1.36625094874662E-07,-9.6682938767263E-08,0.000684347300419342,-6.03575796727363E-08,0.000116061793166679,0,0,0,0,0,0,package://urdf_leg/meshes/rlink3.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://urdf_leg/meshes/rlink3.STL,,rlink3_Default_sldprt.step-1,Origin_rjoint3,Axis_rjoint3,rjoint3,continuous,0.00735,-0.44,0,0,0,0,rlink2,1,0,0,,,,,,,,,,,,
